brand, type, premium, total_sales, avg_sale_price
Nike, Air Force, -31.58, 1, 65
Nike, Air Force, -20, 9, 76
Nike, Air Force, -33.33, 2, 70
Nike, Air Force, -22.35, 85, 66
Nike, Air Force, 21.05, 1, 115
Nike, Air Force, -2, 64, 196
Nike, Air Force, -7.14, 1, 130
Nike, Air Force, -11.5, 13, 177
Nike, Air Force, -23.43, 31, 134
Nike, Air Force, -20.63, 9, 127
Nike, Air Force, 33.33, 1, 120
Nike, Air Force, -50, 674, 85
Nike, Air Force, -27.27, 52, 120
Nike, Air Force, -49.41, 146, 86
Nike, Air Force, -57.24, 5, 62
Nike, Air Force, -53.89, 470, 83
Nike, Air Force, -51.88, 11, 77
Nike, Air Force, -2, 1, 196
Nike, Air Force, -56.67, 1, 65
Nike, Air Force, 1, 16, 101
Nike, Air Force, 641.71, 5, 2596
Nike, Air Force, 38.8, 3, 347
Nike, Air Max, 577, 8, 677
Nike, Air Max, -44.62, 25, 72
Nike, Air Max, -13.68, 51, 82
Nike, Air Max, -25.71, 998, 104
Nike, Air Max, 40.71, 837, 197
Nike, Air Max, 55, 69, 217
Nike, Air Max, 3.57, 3264, 145
Nike, Air Max, 35.71, 1047, 190
Nike, Air Max, 59.29, 60, 223
Nike, Air Max, 78.75, 6455, 286
Nike, Air Max, 249.33, 509, 524
Nike, Air Max, 92.67, 221, 289
Nike, Air Max, -11.82, 75, 97
Nike, Air Max, -1.82, 26, 108
Nike, Air Max, -14.55, 7, 94
Nike, Air Max, 10, 8, 165
Nike, Air Max, -45.45, 1, 60
Nike, Air Max, -26.96, 4, 84
Nike, Air Max, -17.27, 211, 91
Nike, Air Max, -30, 21, 77
Nike, Air Max, -20, 1, 80
Nike, Air Max, 24.62, 59, 162
Nike, Air Max, -25.33, 976, 112
Nike, Air Max, 38, 72, 69
Nike, Air Max, -36.67, 341, 95
Nike, Air Max, -30.67, 491, 104
Nike, Air Max, 22, 82, 183
Nike, Air Max, -19.23, 95, 105
Nike, Air Max, 114.17, 70, 257
Nike, Air Max, -31.67, 57, 82
Nike, Air Max, -31.54, 39, 89
Nike, Air Max, 115.71, 31, 302
Nike, Air Max, 60.71, 8, 225
Nike, Air Max, -20.91, 17, 87
Nike, Air Max, 159.17, 27, 311
Nike, Air Max, -53.85, 1, 60
Nike, Air Max, -5, 14, 114
Nike, Air Max, -35, 184, 91
Nike, Air Max, -39.29, 126, 85
Nike, Air Max, 20.71, 79, 169
Nike, Air Max, -37.86, 17, 87
Nike, Air Max, -23.57, 161, 107
Nike, Air Max, 30, 286, 143
Nike, Air Max, -20, 47, 96
Nike, Air Max, -30.83, 27, 83
Nike, Air Max, 18.46, 790, 154
Nike, Air Max, 15.38, 943, 150
Nike, Air Max, -12.73, 210, 96
Nike, Air Max, -11.82, 45, 97
Nike, Air Max, -11.54, 123, 115
Nike, Air Max, -0.71, 40, 139
Nike, Air Max, 938, 18, 1038
Nike, Air Max, -45.45, 1, 60
Nike, Air Max, -9.09, 1, 100
Nike, Air Max, 144, 3463, 366
Nike, Air Max, 60, 33, 208
Nike, Air Max, 1221.82, 11, 1454
Nike, Air Max, -26, 4, 74
Nike, Air Max, -29.33, 42, 106
Nike, Air Max, -31.87, 6, 109
Nike, Air Max, 61.67, 421, 194
Nike, Air Max, -34.62, 151, 85
Nike, Air Max, -20.83, 133, 95
Nike, Air Max, -10, 9, 99
Nike, Air Max, -40, 143, 72
Nike, Air Max, -20.83, 18, 95
